Using Large Ensembles of Control Variates for Variational Inference,
Non-delusional Q-learning and value-iteration,
Learning Invariances using the Marginal Likelihood,
Uplift Modeling from Separate Labels,
Online Robust Policy Learning in the Presence of Unknown Adversaries,
Variance-Reduced Stochastic Gradient Descent on Streaming Data,
On Markov Chain Gradient Descent,
Maximizing acquisition functions for Bayesian optimization,
Life-Long Disentangled Representation Learning with Cross-Domain Latent Homologies,
Dynamic Network Model from Partial Observations,
ATOMO: Communication-efficient Learning via Atomic Sparsification,
Reinforcement Learning for Solving the Vehicle Routing Problem,
Scalable End-to-End Autonomous Vehicle Testing via Rare-event Simulation,
Adaptive Skip Intervals: Temporal Abstraction for Recurrent Dynamical Models,
Object-Oriented Dynamics Predictor,
Adaptive Methods for Nonconvex Optimization,
Entropy Rate Estimation for Markov Chains with Large State Space,
Large Scale computation of Means and Clusters for Persistence Diagrams using Optimal Transport,
Deep Anomaly Detection Using Geometric Transformations,
Generalization Bounds for Uniformly Stable Algorithms,
"Unsupervised Depth Estimation, 3D Face Rotation and Replacement",
Towards Deep Conversational Recommendations,
Latent Alignment and Variational Attention,
Improving Explorability in Variational Inference with Annealed Variational Objectives,
Coupled Variational Bayes via Optimization Embedding,
Theoretical guarantees for EM under misspecified Gaussian mixture models,
Global Non-convex Optimization with Discretized Diffusions,
Improving Online Algorithms via ML Predictions,
Multi-Agent Reinforcement Learning via Double Averaging Primal-Dual Optimization,
Ex ante coordination and collusion in zero-sum multi-player extensive-form games,
Invertibility of Convolutional Generative Networks from Partial Measurements,
Trading robust representations for sample complexity through self-supervised visual experience,
An intriguing failing of convolutional neural networks and the CoordConv solution,
Optimal Algorithms for Continuous Non-monotone Submodular and DR-Submodular Maximization,
Towards Understanding Learning Representations: To What Extent Do Different Neural Networks Learn the Same Representation,
Neural Proximal Gradient Descent for Compressive Imaging,
Learning convex bounds for linear quadratic control policy synthesis,
Fast Approximate Natural Gradient Descent in a Kronecker Factored Eigenbasis,
e-SNLI: Natural Language Inference with Natural Language Explanations,
Reinforcement Learning with Multiple Experts: A Bayesian Model Combination Approach,
Probabilistic Model-Agnostic Meta-Learning,
Sanity Checks for Saliency Maps,
Multi-objective Maximization of Monotone Submodular Functions with Cardinality Constraint,
PAC-Bayes Tree: weighted subtrees with guarantees,
DAGs with NO TEARS: Continuous Optimization for Structure Learning,
Implicit Bias of Gradient Descent on Linear Convolutional Networks,
Learning and Testing Causal Models with Interventions,
Deepcode: Feedback Codes via Deep Learning,
Identification and Estimation of Causal Effects from Dependent Data,
The Global Anchor Method for Quantifying Linguistic Shifts and Domain Adaptation,
Gather-Excite: Exploiting Feature Context in Convolutional Neural Networks,
The emergence of multiple retinal cell types through efficient coding of natural movies,
Learning Attractor Dynamics for Generative Memory,
Assessing the Scalability of Biologically-Motivated Deep Learning Algorithms and Architectures,
Statistical and Computational Trade-Offs in Kernel K-Means,
Co-regularized Alignment for Unsupervised Domain Adaptation,
Hardware Conditioned Policies for Multi-Robot Transfer Learning,
The Sample Complexity of Semi-Supervised Learning with Nonparametric Mixture Models,
SNIPER: Efficient Multi-Scale Training,
The Effect of Network Width on the Performance of  Large-batch Training,
Representer Point Selection for Explaining Deep Neural Networks,
The Importance of Sampling inMeta-Reinforcement Learning,
Confounding-Robust Policy Improvement,
Deep Dynamical Modeling and Control of Unsteady Fluid Flows,
Coordinate Descent with Bandit Sampling,
The Limit Points of (Optimistic) Gradient Descent in Min-Max Optimization,
Beyond Grids: Learning Graph Representations for Visual Recognition,
PAC-Bayes bounds for stable algorithms with instance-dependent priors,
Deep Predictive Coding Network with Local Recurrent Processing for Object Recognition,
Visual Reinforcement Learning with Imagined Goals,
Watch Your Step: Learning Node Embeddings via Graph Attention,
A Stein variational Newton method,
Reducing Network Agnostophobia,
Quadrature-based features for kernel approximation,
Phase Retrieval Under a Generative Prior,
Learning SMaLL Predictors,
Bayesian multi-domain learning for cancer subtype discovery from next-generation sequencing count data,
Robot Learning in Homes: Improving Generalization and Reducing Dataset Bias,
Invariant Representations without Adversarial Training,
Iterative Value-Aware Model Learning,
Theoretical Linear Convergence of Unfolded ISTA and Its Practical Weights and Thresholds,
Learning Compressed Transforms with Low Displacement Rank,
SING: Symbol-to-Instrument Neural Generator,
Reversible Recurrent Neural Networks,
"FastGRNN: A Fast, Accurate, Stable and Tiny Kilobyte Sized Gated Recurrent Neural Network",
Efficient High Dimensional Bayesian Optimization with Additivity and Quadrature Fourier Features,
A Structured Prediction Approach for Label Ranking,
Inferring Latent Velocities from Weather Radar Data using Gaussian Processes,
Wavelet regression and additive models for irregularly spaced data,
Online Learning of Quantum States,
GLoMo: Unsupervised Learning of Transferable Relational Graphs,
Policy-Conditioned Uncertainty Sets for Robust Markov Decision Processes,
Adaptive Path-Integral Autoencoders: Representation Learning and Planning for Dynamical Systems,
Improving Neural Program Synthesis with Inferred Execution Traces,
Distributed Multitask Reinforcement Learning with Quadratic Convergence,
Balanced Policy Evaluation and Learning,
A Statistical Recurrent Model on the Manifold of Symmetric Positive Definite Matrices,
Exploration in Structured Reinforcement Learning,
Differential Privacy for Growing Databases,
Stein Variational Gradient Descent as Moment Matching,
Group Equivariant Capsule Networks,
Data Amplification: A Unified and Competitive Approach to Property Estimation,
Reinforcement Learning of Theorem Proving,
Legendre Decomposition for Tensors,
Flexible neural representation for physics prediction,
"Loss Surfaces, Mode Connectivity, and Fast Ensembling of DNNs",
Generalized Cross Entropy Loss for Training Deep Neural Networks with Noisy Labels,
A Bayesian Nonparametric View on Count-Min Sketch,
Automatic differentiation in ML: Where we are and where we should be going,
Uniform Convergence of Gradients for Non-Convex Learning and Optimization,
Learning Plannable Representations with Causal InfoGAN,
Dendritic cortical microcircuits approximate the backpropagation algorithm,
Orthogonally Decoupled Variational Gaussian Processes,
Searching for Efficient Multi-Scale Architectures for Dense Image Prediction,
HOUDINI: Lifelong Learning as Program Synthesis,
DeepPINK: reproducible feature selection in deep neural networks,
Estimators for Multivariate Information Measures in General Probability Spaces,
Multilingual Anchoring: Interactive Topic Modeling and Alignment Across Languages,
Learning without the Phase: Regularized PhaseMax Achieves Optimal Sample Complexity,
Compact Representation of Uncertainty in Clustering,
Randomized Prior Functions for Deep Reinforcement Learning,
"Sequential Attend, Infer, Repeat: Generative Modelling of Moving Objects",
A Likelihood-Free Inference Framework for Population Genetic Data using Exchangeable Neural Networks,
Contextual Stochastic Block Models,
Neural Tangent Kernel: Convergence and Generalization in Neural Networks,
Adversarial Multiple Source Domain Adaptation,
A convex program for bilinear inversion of sparse vectors,
Variational Inverse Control with Events: A General Framework for Data-Driven Reward Definition,
Co-teaching: Robust training of deep neural networks with extremely noisy labels,
Clustering Redemption–Beyond the Impossibility of Kleinberg’s Axioms,
Adversarial Regularizers in Inverse Problems,
"Graph Oracle Models, Lower Bounds, and Gaps for Parallel Stochastic Optimization",
Generalisation of structural knowledge in the hippocampal-entorhinal system,
Wasserstein Distributionally Robust Kalman Filtering,
Teaching Inverse Reinforcement Learners via Features and Demonstrations,
Dimensionality Reduction has Quantifiable Imperfections: Two Geometric Bounds,
Deep Poisson gamma dynamical systems,
Data-dependent PAC-Bayes priors via differential privacy,
Almost Optimal Algorithms for Linear Stochastic Bandits with Heavy-Tailed Payoffs,
Deep Network for the Integrated 3D Sensing of Multiple People in Natural Images,
Scaling provable adversarial defenses,
"Learning to Play With Intrinsically-Motivated, Self-Aware Agents",
On preserving non-discrimination when combining expert advice,
Stochastic Primal-Dual Method for Empirical Risk Minimization with O(1) Per-Iteration Complexity,
Transfer Learning with Neural AutoML,
Distributionally Robust Graphical Models,
Learning Conditioned Graph Structures for Interpretable Visual Question Answering,
Information-theoretic Limits for Community Detection in Network Models,
Constructing Unrestricted Adversarial Examples with Generative Models,
Bilevel learning of the Group Lasso structure,
Differentiable MPC for End-to-end Planning and Control,
How SGD Selects the Global Minima in Over-parameterized Learning: A Dynamical Stability Perspective,
The promises and pitfalls of Stochastic Gradient Langevin Dynamics,
Online Reciprocal Recommendation with Theoretical Performance Guarantees,
Algorithms and Theory for Multiple-Source Adaptation,
Efficient Online Portfolio with Logarithmic Regret,
Sample-Efficient Reinforcement Learning with Stochastic Ensemble Value Expansion,
Variational Bayesian Monte Carlo,
Statistical mechanics of low-rank tensor decomposition,
Graphical model inference: Sequential Monte Carlo meets deterministic approximations,
Modelling and unsupervised learning of symmetric deformable object categories,
Hamiltonian Variational Auto-Encoder,
Learning Overparameterized Neural Networks via Stochastic Gradient Descent on Structured Data,
Bayesian Control of Large MDPs with Unknown Dynamics in Data-Poor Environments,
Proximal Graphical Event Models,
Does mitigating ML's impact disparity require treatment disparity?,
Statistical Optimality of Stochastic Gradient Descent on Hard Learning Problems through Multiple Passes,
Credit Assignment For Collective Multiagent RL With Global Rewards,
A Lyapunov-based Approach to Safe Reinforcement Learning,
Learning to Specialize with Knowledge Distillation for Visual Question Answering,
Efficient Anomaly Detection via Matrix Sketching,
Improved Expressivity Through Dendritic Neural Networks,
Pipe-SGD: A Decentralized Pipelined SGD Framework for Distributed Deep Net Training,
Neural Arithmetic Logic Units,
Approximate Knowledge Compilation by Online Collapsed Importance Sampling,
Reward learning from human preferences and demonstrations in Atari,
Spectral Signatures in Backdoor Attacks,
The challenge of realistic music generation: modelling raw audio at scale,
Submodular Maximization via Gradient Ascent: The Case of Deep Submodular   Functions,
Stochastic Expectation Maximization with Variance Reduction,
Dirichlet belief networks for topic structure learning,
Layer-Wise Coordination between Encoder and Decoder for Neural Machine Translation,
Learning to Repair Software Vulnerabilities with Generative Adversarial Networks,
Monte-Carlo Tree Search for Constrained POMDPs,
Robust Detection of Adversarial Attacks by Modeling the Intrinsic Properties of Deep Neural Networks,
Robust Hypothesis Testing Using Wasserstein Uncertainty Sets,
RenderNet: A deep convolutional network for differentiable rendering from 3D shapes,
Cluster Variational Approximations for Structure Learning of Continuous-Time Bayesian Networks from Incomplete Data,
A Reduction for Efficient LDA Topic Reconstruction,
A General Method for Amortizing Variational Filtering,
Beyond Log-concavity: Provable Guarantees for Sampling Multi-modal Distributions using Simulated Tempering Langevin Monte Carlo,
Distributed ,
Preference Based Adaptation for Learning Objectives,
Neural Architecture Optimization,
Learning Libraries of Subroutines for Neurally–Guided Bayesian Program Induction,
Constrained Graph Variational Autoencoders for Molecule Design,
Deep State Space Models for Time Series Forecasting,
Towards Robust Interpretability with Self-Explaining Neural Networks,
Cooperative Learning of Audio and Video Models from Self-Supervised Synchronization,
Learning Loop Invariants for Program Verification,
Breaking the Activation Function Bottleneck through Adaptive Parameterization,
On Neuronal Capacity,
Attacks Meet Interpretability: Attribute-steered Detection of Adversarial Samples,
Adversarial Scene Editing: Automatic Object Removal from Weak Supervision,
Understanding Batch Normalization,
Scalar Posterior Sampling with Applications,
Training Deep Neural Networks with 8-bit Floating Point Numbers,
Depth-Limited Solving for Imperfect-Information Games,
Communication Compression for Decentralized Training,
Sparse Attentive Backtracking: Temporal Credit Assignment Through Reminding,
Improved Algorithms for Collaborative PAC Learning,
Rectangular Bounding Process,
VideoCapsuleNet: A Simplified Network for Action Detection,
"Simple, Distributed, and Accelerated Probabilistic Programming",
Diffusion Maps for Textual Network Embedding,
GPyTorch: Blackbox Matrix-Matrix Gaussian Process Inference with GPU Acceleration,
cpSGD: Communication-efficient and differentially-private distributed SGD,
Towards Text Generation with Adversarially Learned Neural Outlines,
Generalisation in humans and deep neural networks,
Non-Adversarial Mapping with VAEs,
Knowledge Distillation by On-the-Fly Native Ensemble,
Inference in Deep Gaussian Processes using Stochastic Gradient Hamiltonian Monte Carlo,
Generative modeling for protein structures,
Forecasting Treatment Responses Over Time Using Recurrent Marginal Structural Networks,
Adaptive Learning with Unknown Information Flows,
Multi-Agent Generative Adversarial Imitation Learning,
Constrained Cross-Entropy Method for Safe Reinforcement Learning,
Plug-in Estimation in High-Dimensional Linear Inverse Problems: A Rigorous Analysis,
A Bayesian Approach to Generative Adversarial Imitation Learning,
"Constant Regret, Generalized Mixability, and Mirror Descent",
How to tell when a clustering is (approximately) correct using convex relaxations,
Revisiting ,
Stochastic Chebyshev Gradient Descent for Spectral Optimization,
Out-of-Distribution Detection using Multiple Semantic Label Representations,
Learning Signed Determinantal Point Processes through the Principal Minor Assignment Problem,
Unsupervised Cross-Modal Alignment of Speech and Text Embedding Spaces,
Disconnected Manifold Learning for Generative Adversarial Networks,
Bayesian Model-Agnostic Meta-Learning,
REFUEL: Exploring Sparse Features in Deep Reinforcement Learning for Fast Disease Diagnosis,
Streaming Kernel PCA with ,
Relational recurrent neural networks,
Unsupervised Text Style Transfer using Language Models as Discriminators,
Bandit Learning with Implicit Feedback,
"Training Deep Models Faster with Robust, Approximate Importance Sampling",
Learning Attentional Communication for Multi-Agent Cooperation,
Implicit Probabilistic Integrators for ODEs,
Chaining Mutual Information and Tightening Generalization Bounds,
Efficient Loss-Based Decoding on Graphs for Extreme Classification,
Distributed Multi-Player Bandits - a Game of Thrones Approach,
Mapping Images to Scene Graphs with Permutation-Invariant Structured Prediction,
Stimulus domain transfer in recurrent models for large scale cortical population prediction on video,
BRUNO: A Deep Recurrent Model for Exchangeable Data,
End-to-End Differentiable Physics for Learning and Control,
A Simple Unified Framework for Detecting Out-of-Distribution Samples and Adversarial Attacks,
Hierarchical Reinforcement Learning for Zero-shot Generalization with Subtask Dependencies,
Parameters as interacting particles: long time convergence and asymptotic error scaling of neural networks,
"Deep Homogeneous Mixture Models: Representation, Separation, and Approximation",
Provably Correct Automatic Sub-Differentiation for Qualified Programs,
Constrained Generation of Semantically Valid Graphs via Regularizing Variational Autoencoders,
Model-Agnostic Private Learning,
On the Convergence and Robustness of Training GANs with Regularized Optimal Transport,
Manifold-tiling Localized Receptive Fields are Optimal in Similarity-preserving Neural Networks,
A probabilistic population code based on neural samples,
Dual Policy Iteration,
Predictive Uncertainty Estimation via Prior Networks,
GILBO: One Metric to Measure Them All,
Efficient online algorithms for fast-rate regret bounds under sparsity,
Gen-Oja: Simple & Efficient Algorithm for Streaming Generalized Eigenvector Computation,
Hybrid Macro/Micro Level Backpropagation for Training Deep Spiking Neural Networks,
Bayesian Alignments of Warped Multi-Output Gaussian Processes,
Causal Inference via Kernel Deviance Measures,
Unorganized Malicious Attacks Detection,
A Probabilistic U-Net for Segmentation of Ambiguous Images,
Uncertainty Sampling is Preconditioned Stochastic Gradient Descent on Zero-One Loss,
Online Structure Learning for Feed-Forward and Recurrent Sum-Product Networks,
rho-POMDPs have Lipschitz-Continuous epsilon-Optimal Value Functions,
Causal Inference with Noisy and Missing Covariates via Matrix Factorization,
Maximizing Induced Cardinality Under a Determinantal Point Process,
Efficient Convex Completion of Coupled Tensors using Coupled Nuclear Norms,
Bayesian Adversarial Learning,
Differentially Private Testing of Identity and Closeness of Discrete Distributions,
Scaling Gaussian Process Regression with Derivatives,
Stochastic Nonparametric Event-Tensor Decomposition,
Scalable Hyperparameter Transfer Learning,
Diminishing Returns Shape Constraints for Interpretability and Regularization,
Generative Probabilistic Novelty Detection with Adversarial Autoencoders,
Efficient Gradient Computation for Structured Output Learning with Rational and Tropical Losses,
Extracting Relationships by Multi-Domain Matching,
M-Walk: Learning to Walk over Graphs using Monte Carlo Tree Search,
BRITS: Bidirectional Recurrent Imputation for Time Series,
Provable Gaussian Embedding with One Observation,
Banach Wasserstein GAN,
A Theory-Based Evaluation of Nearest Neighbor Models Put Into Practice,
Policy Regret in Repeated Games,
Large-Scale Stochastic Sampling from the Probability Simplex,
Heterogeneous Multi-output Gaussian Process Prediction,
On gradient regularizers for MMD GANs,
Model-based targeted dimensionality reduction for neuronal population data,
Representation Learning of Compositional Data,
Modeling Dynamic Missingness of Implicit Feedback for Recommendation,
Training Neural Networks Using Features Replay,
Query K-means Clustering and the Double Dixie Cup Problem,
CatBoost: unbiased boosting with categorical features,
Incorporating Context into Language Encoding Models for fMRI,
An Improved Analysis of Alternating Minimization for Structured Multi-Response Regression,
Contamination Attacks and Mitigation in Multi-Party Machine Learning,
Approximating Real-Time Recurrent Learning with Random Kronecker Factors,
Unsupervised Learning of Artistic Styles with Archetypal Style Analysis,
Neural Ordinary Differential Equations,
On Coresets for Logistic Regression,
Proximal SCOPE for Distributed Sparse Learning,
Lipschitz-Margin Training: Scalable Certification of Perturbation Invariance for Deep Neural Networks,
The Everlasting Database: Statistical Validity at a Fair Price,
On the Local Hessian in Back-propagation,
Compact Generalized Non-local Network,
"Online Adaptive Methods, Universality and Acceleration",
Size-Noise Tradeoffs in Generative Networks,
Multi-View Silhouette and Depth Decomposition for High Resolution 3D Object Representation,
Learning to Teach with Dynamic Loss Functions,
Turbo Learning for CaptionBot and DrawingBot,
Learning Latent Subspaces in Variational Autoencoders,
L4: Practical loss-based stepsize adaptation for deep learning,
On Controllable Sparse Alternatives to Softmax,
Graph Convolutional Policy Network for Goal-Directed Molecular Graph Generation,
The Limits of Post-Selection Generalization,
Visualizing the Loss Landscape of Neural Nets,
Bayesian Distributed Stochastic Gradient Descent,
Efficient Formal Safety Analysis of Neural Networks,
A no-regret generalization of hierarchical softmax to extreme multi-label classification,
Distributed Learning without Distress: Privacy-Preserving Empirical Risk Minimization,
Sequential Test for the Lowest Mean: From Thompson to Murphy Sampling,
Deep Structured Prediction with Nonlinear Output Transformations,
Navigating with Graph Representations for Fast and Scalable Decoding of Neural Language Models,
Algebraic tests of general Gaussian latent tree models,
Exponentially Weighted Imitation Learning for Batched Historical Data,
Privacy Amplification by Subsampling: Tight Analyses via Couplings and Divergences,
Multi-domain Causal Structure Learning in Linear Systems,
Tangent: Automatic differentiation using source-code transformation for dynamically typed array programming,
SLANG: Fast Structured Covariance Approximations for Bayesian Deep Learning with Natural Gradient,
LF-Net: Learning Local Features from Images,
Learning towards Minimum Hyperspherical Energy,
Deep Neural Networks with Box Convolutions,
Sharp Bounds for Generalized Uniformity Testing,
"The Cluster Description Problem - Complexity Results, Formulations and Approximations",
Transfer of Value Functions via Variational Methods,
ResNet with one-neuron hidden layers is a Universal Approximator,
Deep State Space Models for Unconditional Word Generation,
Predict Responsibly: Improving Fairness and Accuracy by Learning to Defer,
Online convex optimization for cumulative constraints,
Recurrent Transformer Networks for Semantic Correspondence,
Information Constraints on Auto-Encoding Variational Bayes,
Poison Frogs! Targeted Clean-Label Poisoning Attacks on Neural Networks,
MacNet: Transferring Knowledge from Machine Comprehension to Sequence-to-Sequence Models,
Variational Learning on Aggregate Outputs with Gaussian Processes,
Graphical Generative Adversarial Networks,
Learning to Infer Graphics Programs from Hand-Drawn Images,
Evolutionary Stochastic Gradient Descent for Optimization of Deep Neural Networks,
Approximation algorithms for stochastic clustering,
Dimensionally Tight Bounds for Second-Order Hamiltonian Monte Carlo,
Multi-Task Zipping via Layer-wise Neuron Sharing,
Dirichlet-based Gaussian Processes for Large-scale Calibrated Classification,
Stacked Semantics-Guided Attention Model for Fine-Grained Zero-Shot Learning,
Automating Bayesian optimization with Bayesian optimization,
The Convergence of Sparsified Gradient Methods,
Memory Replay GANs: Learning to Generate New Categories without Forgetting,
Constructing Fast Network through Deconstruction of Convolution,
Exact natural gradient in deep linear networks and its application to the nonlinear case,
Deep Generative Models for Distribution-Preserving Lossy Compression,
Binary Classification from Positive-Confidence Data,
Diverse Ensemble Evolution: Curriculum Data-Model Marriage,
Dual Swap Disentangling,
A Bayes-Sard Cubature Method,
Practical Deep Stereo (PDS): Toward applications-friendly deep stereo matching,
Differential Properties of Sinkhorn Approximation for Learning with Wasserstein Distance,
On GANs and GMMs,
Masking: A New Perspective of Noisy Supervision,
Gamma-Poisson Dynamic Matrix Factorization Embedded with Metadata Influence,
CapProNet: Deep Feature Learning via Orthogonal Projections onto Capsule Subspaces,
Neural Interaction Transparency (NIT): Disentangling Learned Interactions for Improved Interpretability,
Computing Kantorovich-Wasserstein Distances on ,
Loss Functions for Multiset Prediction,
Learning to Multitask,
Adversarially Robust Optimization with Gaussian Processes,
Mental Sampling in Multimodal Representations,
Variational Inference with Tail-adaptive f-Divergence,
Insights on representational similarity in neural networks with canonical correlation,
Critical initialisation for deep signal propagation in noisy rectifier neural networks,
Learning convex polytopes with margin,
Efficient inference for time-varying behavior during learning,
Unsupervised Video Object Segmentation for Deep Reinforcement Learning,
On Fast Leverage Score Sampling and Optimal Learning,
Bandit Learning in Concave N-Person Games,
Online Improper Learning with an Approximation Oracle,
Contextual Pricing for Lipschitz Buyers,
Learning Others' Intentional Models in Multi-Agent Settings Using Interactive POMDPs,
Fast Greedy MAP Inference for Determinantal Point Process to Improve Recommendation Diversity,
Manifold Structured Prediction,
Occam's razor is insufficient to infer the preferences of irrational agents,
How Much Restricted Isometry is Needed In Nonconvex Matrix Recovery?,
Multimodal Generative Models for Scalable Weakly-Supervised Learning,
A Simple Proximal Stochastic Gradient Method for Nonsmooth Nonconvex Optimization,
Reparameterization Gradient for Non-differentiable Models,
To Trust Or Not To Trust A Classifier,
First-order Stochastic Algorithms for Escaping From Saddle Points in Almost Linear Time,
Middle-Out Decoding,
Inference Aided Reinforcement Learning for Incentive Mechanism Design in Crowdsourcing,
Low-rank Interaction with Sparse Additive Effects Model for Large Data Frames,
A Dual Framework for Low-rank Tensor Completion,
Community Exploration: From Offline Optimization to Online Learning,
Algorithmic Assurance: An Active Approach to Algorithmic Testing using Bayesian Optimisation,
Estimating Learnability in the Sublinear Data Regime,
Policy Optimization via Importance Sampling,
Differentially Private k-Means with Constant Multiplicative Error,
Learning Concave Conditional Likelihood Models for Improved Analysis of Tandem Mass Spectra,
The Spectrum of the Fisher Information Matrix of a Single-Hidden-Layer Neural Network,
Evolved Policy Gradients,
Fully Understanding The Hashing Trick,
Learning a latent manifold of odor representations from neural responses in piriform cortex,
Learning Task Specifications from Demonstrations,
Breaking the Curse of Horizon: Infinite-Horizon Off-Policy Estimation,
Hyperbolic Neural Networks,
Generalizing to Unseen Domains via Adversarial Data Augmentation,
Semi-supervised Deep Kernel Learning: Regression with Unlabeled Data by Minimizing Predictive Variance,
Sample Efficient Stochastic Gradient Iterative Hard Thresholding Method for Stochastic Sparse Linear Regression with Limited Attribute Observation,
Meta-Reinforcement Learning of Structured Exploration Strategies,
Task-Driven Convolutional Recurrent Models of the Visual System,
